id,family,variant,recall5,mrr,keyword_score,evidence_score,success,latency_ms,tool_calls,token_usage_proxy,llm_used,retriever_backend
f01,factual,v4,1.0,1.0,0.3333333333333333,0.6666666666666666,0.4333333333333333,36114.21943397727,3,66,1,hybrid_text_image_caption
f02,factual,v4,1.0,1.0,0.6666666666666666,1.0,0.7666666666666666,24808.98181797238,3,86,1,hybrid_text_image_caption
f03,factual,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,21807.952724047936,3,54,1,hybrid_text_image_caption
f04,factual,v4,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5666666666666667,12012.114921992179,3,49,1,hybrid_text_image_caption
f05,factual,v4,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,18687.640142976306,3,73,1,hybrid_text_image_caption
f06,factual,v4,1.0,1.0,0.5,0.3333333333333333,0.44999999999999996,18168.106372002512,3,76,1,hybrid_text_image_caption
f07,factual,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,19905.135134002194,3,60,1,hybrid_text_image_caption
f08,factual,v4,1.0,1.0,1.0,1.0,1.0,22236.71381897293,3,78,1,hybrid_text_image_caption
f09,factual,v4,1.0,1.0,0.6666666666666666,1.0,0.7666666666666666,25733.12107200036,3,102,1,hybrid_text_image_caption
f10,factual,v4,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,25045.914329006337,3,93,1,hybrid_text_image_caption
c01,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,17548.911040008534,3,59,1,hybrid_text_image_caption
c02,cross_modal,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,16498.83181997575,3,51,1,hybrid_text_image_caption
c03,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,12872.717855032533,3,55,1,hybrid_text_image_caption
c04,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,16923.55490499176,3,51,1,hybrid_text_image_caption
c05,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,14870.679079962429,3,51,1,hybrid_text_image_caption
c06,cross_modal,v4,0.0,0.0,1.0,0.3333333333333333,0.7999999999999999,20025.139574951027,3,46,1,hybrid_text_image_caption
c07,cross_modal,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,22631.970636022743,3,94,1,hybrid_text_image_caption
c08,cross_modal,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,19049.325836007483,3,75,1,hybrid_text_image_caption
c09,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,10709.76217999123,3,36,1,hybrid_text_image_caption
c10,cross_modal,v4,0.0,0.0,0.3333333333333333,0.6666666666666666,0.4333333333333333,19535.507512046024,3,56,1,hybrid_text_image_caption
m01,multi_hop,v4,1.0,1.0,1.0,1.0,1.0,28796.270049992017,3,117,1,hybrid_text_image_caption
m02,multi_hop,v4,1.0,1.0,1.0,1.0,1.0,25364.02737395838,3,85,1,hybrid_text_image_caption
m03,multi_hop,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,24647.2787540406,3,109,1,hybrid_text_image_caption
m04,multi_hop,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,27114.237444999162,3,103,1,hybrid_text_image_caption
m05,multi_hop,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,25808.832954033278,3,81,1,hybrid_text_image_caption
m06,multi_hop,v4,0.5,1.0,1.0,1.0,1.0,28864.94550202042,3,77,1,hybrid_text_image_caption
m07,multi_hop,v4,1.0,0.5,1.0,1.0,1.0,25273.812372004613,3,68,1,hybrid_text_image_caption
m08,multi_hop,v4,1.0,1.0,0.75,1.0,0.825,26692.8970059962,3,106,1,hybrid_text_image_caption
m09,multi_hop,v4,1.0,1.0,1.0,1.0,1.0,31421.200665005017,3,107,1,hybrid_text_image_caption
m10,multi_hop,v4,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,24152.076439990196,3,91,1,hybrid_text_image_caption
p01,follow_up,v4,0.0,0.0,1.0,0.6666666666666666,0.8999999999999999,23119.96038298821,4,73,1,hybrid_text_image_caption
p02,follow_up,v4,1.0,1.0,0.0,0.6666666666666666,0.19999999999999998,25150.893073005136,4,71,1,hybrid_text_image_caption
p03,follow_up,v4,0.5,0.25,1.0,0.6666666666666666,0.8999999999999999,26341.915761004202,4,80,1,hybrid_text_image_caption
p04,follow_up,v4,1.0,1.0,1.0,1.0,1.0,52969.429888995364,6,69,1,hybrid_text_image_caption
p05,follow_up,v4,1.0,1.0,1.0,1.0,1.0,61750.457092013676,6,81,1,hybrid_text_image_caption
p06,follow_up,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,21211.66320302291,4,58,1,hybrid_text_image_caption
p07,follow_up,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,24262.202620040625,4,87,1,hybrid_text_image_caption
p08,follow_up,v4,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,26371.113972039893,5,57,1,hybrid_text_image_caption
p09,follow_up,v4,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,47642.23448996199,6,80,1,hybrid_text_image_caption
p10,follow_up,v4,1.0,1.0,0.3333333333333333,0.0,0.2333333333333333,48568.53309797589,6,60,1,hybrid_text_image_caption
