id,family,variant,recall5,mrr,keyword_score,evidence_score,success,latency_ms,tool_calls,token_usage_proxy,llm_used,retriever_backend
f01,factual,v4,1.0,1.0,0.3333333333333333,0.6666666666666666,0.4333333333333333,26473.89690199634,3,87,1,hybrid_text_image_caption
f02,factual,v4,1.0,1.0,0.6666666666666666,1.0,0.7666666666666666,20874.05676895287,3,54,1,hybrid_text_image_caption
f03,factual,v4,1.0,1.0,1.0,1.0,1.0,22776.195244980045,3,67,1,hybrid_text_image_caption
f04,factual,v4,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5666666666666667,11502.073006995488,3,49,1,hybrid_text_image_caption
f05,factual,v4,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,18498.38077300228,3,72,1,hybrid_text_image_caption
f06,factual,v4,1.0,1.0,1.0,0.0,0.7,21385.006679978687,3,106,1,hybrid_text_image_caption
f07,factual,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,20756.229449994862,3,49,1,hybrid_text_image_caption
f08,factual,v4,1.0,1.0,1.0,1.0,1.0,25816.374601970892,3,92,1,hybrid_text_image_caption
f09,factual,v4,1.0,1.0,1.0,1.0,1.0,28170.603608014062,3,101,1,hybrid_text_image_caption
f10,factual,v4,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,25772.33437198447,3,101,1,hybrid_text_image_caption
c01,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,21426.37531500077,3,62,1,hybrid_text_image_caption
c02,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,14020.066852972377,3,50,1,hybrid_text_image_caption
c03,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,7454.294399009086,3,15,1,hybrid_text_image_caption
c04,cross_modal,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,19169.517590024043,3,63,1,hybrid_text_image_caption
c05,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,15453.60238198191,3,54,1,hybrid_text_image_caption
c06,cross_modal,v4,0.0,0.0,1.0,0.3333333333333333,0.7999999999999999,22183.48386604339,3,57,1,hybrid_text_image_caption
c07,cross_modal,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,21612.376419012435,3,91,1,hybrid_text_image_caption
c08,cross_modal,v4,1.0,1.0,1.0,1.0,1.0,28345.884757989552,3,87,1,hybrid_text_image_caption
c09,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,10349.895102030132,3,32,1,hybrid_text_image_caption
c10,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,12508.025748014916,3,50,1,hybrid_text_image_caption
m01,multi_hop,v4,1.0,1.0,1.0,1.0,1.0,27696.91579096252,3,102,1,hybrid_text_image_caption
m02,multi_hop,v4,1.0,1.0,1.0,1.0,1.0,26567.274314002134,3,97,1,hybrid_text_image_caption
m03,multi_hop,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,25029.21690203948,3,95,1,hybrid_text_image_caption
m04,multi_hop,v4,1.0,1.0,1.0,1.0,1.0,29673.996297002304,3,115,1,hybrid_text_image_caption
m05,multi_hop,v4,1.0,1.0,1.0,1.0,1.0,28796.58834100701,3,95,1,hybrid_text_image_caption
m06,multi_hop,v4,0.5,1.0,1.0,1.0,1.0,33156.868109013885,3,115,1,hybrid_text_image_caption
m07,multi_hop,v4,1.0,0.5,1.0,1.0,1.0,25535.03637301037,3,75,1,hybrid_text_image_caption
m08,multi_hop,v4,1.0,1.0,0.75,1.0,0.825,24649.46426800452,3,105,1,hybrid_text_image_caption
m09,multi_hop,v4,1.0,1.0,1.0,1.0,1.0,32480.660697969142,3,119,1,hybrid_text_image_caption
m10,multi_hop,v4,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,22196.18268898921,3,80,1,hybrid_text_image_caption
p01,follow_up,v4,0.0,0.0,1.0,0.6666666666666666,0.8999999999999999,24666.513764997944,4,78,1,hybrid_text_image_caption
p02,follow_up,v4,1.0,1.0,0.25,0.6666666666666666,0.375,22841.92458196776,4,90,1,hybrid_text_image_caption
p03,follow_up,v4,0.5,0.25,1.0,0.0,0.7,24222.396469966043,4,97,1,hybrid_text_image_caption
p04,follow_up,v4,1.0,1.0,1.0,0.0,0.7,16321.23857998522,4,60,1,hybrid_text_image_caption
p05,follow_up,v4,1.0,1.0,1.0,0.0,0.7,22485.39892898407,4,109,1,hybrid_text_image_caption
p06,follow_up,v4,1.0,1.0,1.0,1.0,1.0,21197.092339978553,4,56,1,hybrid_text_image_caption
p07,follow_up,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,20330.221345997415,4,58,1,hybrid_text_image_caption
p08,follow_up,v4,1.0,1.0,0.6666666666666666,0.0,0.4666666666666666,17369.757438020315,4,58,1,hybrid_text_image_caption
p09,follow_up,v4,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,20529.780496028252,4,79,1,hybrid_text_image_caption
p10,follow_up,v4,1.0,1.0,0.3333333333333333,0.0,0.2333333333333333,13667.488014034461,4,47,1,hybrid_text_image_caption
